array('time'=>'02.02.18 07.13', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'43', 'message'=>'START'),
array('time'=>'05.02.18 12.16', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.16', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php'),
array('time'=>'05.02.18 12.17', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.17', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php'),
array('time'=>'05.02.18 12.19', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.19', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php'),
array('time'=>'05.02.18 12.22', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.22', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php'),
array('time'=>'05.02.18 12.23', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.23', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php'),
array('time'=>'05.02.18 12.24', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.26', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.32', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.32', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php'),
array('time'=>'05.02.18 12.33', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'42', 'message'=>'START get_exmo_orders.php'),
array('time'=>'05.02.18 12.40', 'file'=>'/home/cron/currency_dev/get_exmo_orders.php', 'line'=>'84', 'message'=>'STOP get_exmo_orders.php')
